comment_id,author,text,time,votes,photo,text_clean,sentimen_pred,prob_negatif,prob_netral,prob_positif
Ugx-xP2aQx__a6TatN54AaABAg,@RAK-Corner,"Saya tahu yang bayar ""kontra demo"" karena sudah ada yang mengaku....",9 jam yang lalu,18,https://yt3.ggpht.com/oNJsralcIKwOc922FP9moJcEul5RNM0EuyAjqstjduwkNiuaGBNer4nO7kHFPjiKZV5cM10Z=s88-c-k-c0x00ffffff-no-rj,bayar kontra demo aku,negatif,0.3333333333333333,0.3333333333333333,0.3333333333333333
UgxCJTmyKYc8GAoQyRh4AaABAg,@SamsolhadiwiyonoSamsol,Jangan omon2 doang pah kalau tau tangkap perlihatkan ke rahyatnya biar faham siapa yg betul2 cinta tanah air salam buat Prabowo ❤❤❤,9 jam yang lalu,25,https://yt3.ggpht.com/ytc/AIdro_kSGfJDEc-ehaGCvwnyuNBr8kfhML-Yew76Nj8hUUSrrke4-fZIU5cLYjQMy1xZcxRHzA=s88-c-k-c0x00ffffff-no-rj,omon pah tau tangkap lihat rahyatnya biar faham cinta tanah air prabowo,negatif,0.3333333333333333,0.3333333333333333,0.3333333333333333
UgzRf0m4xV1XqdIwbk54AaABAg,@AkuNadi7814,"buat P.Prabowo,
ini bkn sekedar demo & yg bayar demo tp ttg kekecewaan & kemarahan rakyat.",6 jam yang lalu,4,https://yt3.ggpht.com/ytc/AIdro_njMp9P5pDrqRaj4oHRodXslSma01EB2tIA4mBbGR7rDJoi92M1smujcI3N84wSKYdkGA=s88-c-k-c0x00ffffff-no-rj,prabowo bkn dar demo bayar demo kecewa marah rakyat,negatif,0.3333333333333333,0.3333333333333333,0.3333333333333333
UgzwiYHK16HZvo6sqk54AaABAg,@Mafudin-z5g,Tangkap dong kalau benar tahu yang bayar,8 jam yang lalu,11,https://yt3.ggpht.com/ytc/AIdro_mNEAv5MPjwUYT_oMN-I_oKxZXRDcwTzQ5m2dLC8BLZIN_r2XL_arB8rM0NkGGWBLQJXQ=s88-c-k-c0x00ffffff-no-rj,tangkap bayar,negatif,0.3333333333333333,0.3333333333333333,0.3333333333333333
UgwlXMMnAabgSezPlrx4AaABAg,@trimulyono9242,"Akhirnya Mahasiswa tahu bahwa di dalam demo itu seperti itu.
Masyarakat harus hati hati dan waspada apabila mengikuti demo yg didalamnya tidak baik.",6 jam yang lalu,3,https://yt3.ggpht.com/ytc/AIdro_neBGSJ6dbSa-t8O19WuKvnSs2-x96qiZVid5SaWdc=s88-c-k-c0x00ffffff-no-rj,mahasiswa demo masyarakat hati hati waspada ikut demo dalam,negatif,0.3333333333333333,0.3333333333333333,0.3333333333333333
UgwXRL-oCovRetPT9UJ4AaABAg,@dwikurniawan66,Cari yang demo bayaran ketemu sama Fufufafa!,9 jam yang lalu,18,https://yt3.ggpht.com/ytc/AIdro_nY5i1argfv_TCe4ESC6tpD-qZ3bNyFEEg0a-Io15cSjg=s88-c-k-c0x00ffffff-no-rj,cari demo bayar ketemu fufufafa,negatif,0.3333333333333333,0.3333333333333333,0.3333333333333333
UgyBD66AwN0L5kW-_Z54AaABAg,@Boymin-g9o,"Siapa pak yg bayarin demo?,siapa yang bertemu dengan pendemo bayaran begitu mudahnya.",9 jam yang lalu,10,https://yt3.ggpht.com/Hi5ArVenkKq9w25vcgnl_Fn0ZBbha67rAJaZQkNj64yT_gWJ6FeJw2cu4rdaRv_k-RXWF_dL=s88-c-k-c0x00ffffff-no-rj,bayarin demo temu demo bayar mudah,negatif,0.3333333333333333,0.3333333333333333,0.3333333333333333
Ugys61ubmo7EawhL6rV4AaABAg,@RamaDani-z5u,"Peresident paling iklas buat,rakyat dan negara,ekspor 1 pintu,menuju indonesia emas emas emas,alam indonesia,milik NKRI,bukan oligarki,jaya indonesia jaya jaya jaya",6 jam yang lalu,6,https://yt3.ggpht.com/ytc/AIdro_nda3NuW4HXFz11TFja6elUTDgEB9wuwjLWBcCho3VqWai3G3DxOL09_d1cje349l3kKw=s88-c-k-c0x00ffffff-no-rj,peresident iklas rakyat negara ekspor pintu indonesia emas emas emas alam indonesia milik nkri oligarki jaya indonesia jaya jaya jaya,negatif,0.3333333333333333,0.3333333333333333,0.3333333333333333
Ugw-CMoPj2yy7_uYPEt4AaABAg,@ahmadwirasaputra3464,"Kalau tahu bertindak bukan Omon-omon terus!!!! 
4 kali gagal jadi bisnisnya mandeg makanya ingin berkuasa agar bisa berbisnis dgn lancar!!!",8 jam yang lalu,8,https://yt3.ggpht.com/lD2p9jk7OKV-Brz1_UTgfbNk0D0dIfFKRs-WouxEERQJOsbnss9Ag2uK-CcbRChdJggPJtmP_ik=s88-c-k-c0x00ffffff-no-rj,tindak omon omon gagal bisnis mandeg kuasa bisnis lancar,negatif,0.3333333333333333,0.3333333333333333,0.3333333333333333
UgxPAsyfy-W17X_b0Il4AaABAg,@HitoriLukitasari,"Kalau tahu,,cpt tangkp pak",8 jam yang lalu,9,https://yt3.ggpht.com/ytc/AIdro_lIVZruWSvlKaxkn57-rQU_C05R3t9jAWHU60AtJYLV6jMdWWwFgedf-dP7oDI9GjrVqw=s88-c-k-c0x00ffffff-no-rj,cpt tangkp,negatif,0.3333333333333333,0.3333333333333333,0.3333333333333333
UgwXvV2Dmxg71kgkX-d4AaABAg,@KandupeRizal,Pasti Gibran yg di tuduh nanti sama gerombolan Dajjal,9 jam yang lalu,6,https://yt3.ggpht.com/ytc/AIdro_m4jJbEjL0SIaIOtfApQMcEAEbnC-hAy2naWEzpzZ-wcWvyVBEhmP2ZNn6PyBDPQpvKQA=s88-c-k-c0x00ffffff-no-rj,gibran tuduh gerombol dajjal,negatif,0.3333333333333333,0.3333333333333333,0.3333333333333333
